"","qweek","vac_1","age","gender","country","Age_groups","agegroup_fct","Vaccine_fct"
"2677","week 21","2",40,"Female","Denmark",3,"35-44","Somewhat agree"
"2678","week 21","1",64,"Female","Denmark",5,"55-64","Strongly agree"
"2679","week 21","1",55,"Female","Denmark",5,"55-64","Strongly agree"
"2680","week 21","1",69,"Female","Denmark",6,"65+","Strongly agree"
"2681","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2682","week 21","5",30,"Female","Denmark",2,"25-34","Strongly disagree"
"2683","week 21","4",40,"Male","Denmark",3,"35-44","Somewhat disagree"
"2684","week 21","3",46,"Female","Denmark",4,"45-54","Neutral/no opinion"
"2685","week 21","1",58,"Male","Denmark",5,"55-64","Strongly agree"
"2686","week 21","1",31,"Female","Denmark",2,"25-34","Strongly agree"
"2687","week 21","1",45,"Female","Denmark",4,"45-54","Strongly agree"
"2688","week 21","5",40,"Female","Denmark",3,"35-44","Strongly disagree"
"2689","week 21","1",47,"Female","Denmark",4,"45-54","Strongly agree"
"2690","week 21","2",36,"Male","Denmark",3,"35-44","Somewhat agree"
"2691","week 21","5",41,"Male","Denmark",3,"35-44","Strongly disagree"
"2692","week 21","1",45,"Male","Denmark",4,"45-54","Strongly agree"
"2693","week 21","1",57,"Female","Denmark",5,"55-64","Strongly agree"
"2694","week 21","4",36,"Female","Denmark",3,"35-44","Somewhat disagree"
"2695","week 21","1",65,"Male","Denmark",6,"65+","Strongly agree"
"2696","week 21","5",53,"Female","Denmark",4,"45-54","Strongly disagree"
"2697","week 21","3",61,"Female","Denmark",5,"55-64","Neutral/no opinion"
"2698","week 21","1",50,"Female","Denmark",4,"45-54","Strongly agree"
"2699","week 21","1",54,"Female","Denmark",4,"45-54","Strongly agree"
"2700","week 21","1",41,"Female","Denmark",3,"35-44","Strongly agree"
"2701","week 21","1",45,"Male","Denmark",4,"45-54","Strongly agree"
"2702","week 21","5",30,"Female","Denmark",2,"25-34","Strongly disagree"
"2703","week 21","2",61,"Female","Denmark",5,"55-64","Somewhat agree"
"2704","week 21","1",69,"Female","Denmark",6,"65+","Strongly agree"
"2705","week 21","2",61,"Female","Denmark",5,"55-64","Somewhat agree"
"2706","week 21","1",51,"Male","Denmark",4,"45-54","Strongly agree"
"2707","week 21","4",34,"Female","Denmark",2,"25-34","Somewhat disagree"
"2708","week 21","3",61,"Female","Denmark",5,"55-64","Neutral/no opinion"
"2709","week 21","1",64,"Female","Denmark",5,"55-64","Strongly agree"
"2710","week 21","1",30,"Female","Denmark",2,"25-34","Strongly agree"
"2711","week 21","1",46,"Female","Denmark",4,"45-54","Strongly agree"
"2712","week 21","5",44,"Female","Denmark",3,"35-44","Strongly disagree"
"2713","week 21","2",52,"Male","Denmark",4,"45-54","Somewhat agree"
"2714","week 21","1",48,"Male","Denmark",4,"45-54","Strongly agree"
"2715","week 21","1",59,"Male","Denmark",5,"55-64","Strongly agree"
"2716","week 21","1",65,"Male","Denmark",6,"65+","Strongly agree"
"2717","week 21","1",74,"Male","Denmark",6,"65+","Strongly agree"
"2718","week 21","5",40,"Male","Denmark",3,"35-44","Strongly disagree"
"2719","week 21","5",32,"Female","Denmark",2,"25-34","Strongly disagree"
"2720","week 21","1",49,"Male","Denmark",4,"45-54","Strongly agree"
"2721","week 21","3",42,"Female","Denmark",3,"35-44","Neutral/no opinion"
"2722","week 21","1",43,"Female","Denmark",3,"35-44","Strongly agree"
"2723","week 21","1",54,"Male","Denmark",4,"45-54","Strongly agree"
"2724","week 21","5",63,"Female","Denmark",5,"55-64","Strongly disagree"
"2725","week 21","4",44,"Female","Denmark",3,"35-44","Somewhat disagree"
"2726","week 21","1",62,"Female","Denmark",5,"55-64","Strongly agree"
"2727","week 21","1",62,"Female","Denmark",5,"55-64","Strongly agree"
"2728","week 21","2",35,"Male","Denmark",3,"35-44","Somewhat agree"
"2729","week 21","2",52,"Female","Denmark",4,"45-54","Somewhat agree"
"2730","week 21","5",62,"Female","Denmark",5,"55-64","Strongly disagree"
"2731","week 21","1",63,"Female","Denmark",5,"55-64","Strongly agree"
"2732","week 21","3",31,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2733","week 21","1",63,"Female","Denmark",5,"55-64","Strongly agree"
"2734","week 21","5",45,"Male","Denmark",4,"45-54","Strongly disagree"
"2735","week 21","1",47,"Male","Denmark",4,"45-54","Strongly agree"
"2736","week 21","2",65,"Female","Denmark",6,"65+","Somewhat agree"
"2737","week 21","1",61,"Male","Denmark",5,"55-64","Strongly agree"
"2738","week 21","1",60,"Female","Denmark",5,"55-64","Strongly agree"
"2739","week 21","1",37,"Male","Denmark",3,"35-44","Strongly agree"
"2740","week 21","1",72,"Female","Denmark",6,"65+","Strongly agree"
"2741","week 21","3",41,"Male","Denmark",3,"35-44","Neutral/no opinion"
"2742","week 21","1",53,"Female","Denmark",4,"45-54","Strongly agree"
"2743","week 21","5",43,"Female","Denmark",3,"35-44","Strongly disagree"
"2744","week 21","1",55,"Female","Denmark",5,"55-64","Strongly agree"
"2745","week 21","1",57,"Male","Denmark",5,"55-64","Strongly agree"
"2746","week 21","1",54,"Male","Denmark",4,"45-54","Strongly agree"
"2747","week 21","1",52,"Female","Denmark",4,"45-54","Strongly agree"
"2748","week 21","5",58,"Female","Denmark",5,"55-64","Strongly disagree"
"2749","week 21","1",63,"Female","Denmark",5,"55-64","Strongly agree"
"2750","week 21","1",45,"Female","Denmark",4,"45-54","Strongly agree"
"2751","week 21","2",57,"Female","Denmark",5,"55-64","Somewhat agree"
"2752","week 21","1",56,"Female","Denmark",5,"55-64","Strongly agree"
"2753","week 21","1",64,"Female","Denmark",5,"55-64","Strongly agree"
"2754","week 21","1",31,"Female","Denmark",2,"25-34","Strongly agree"
"2755","week 21","2",40,"Male","Denmark",3,"35-44","Somewhat agree"
"2756","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2757","week 21","1",63,"Male","Denmark",5,"55-64","Strongly agree"
"2758","week 21","1",56,"Male","Denmark",5,"55-64","Strongly agree"
"2759","week 21","1",58,"Female","Denmark",5,"55-64","Strongly agree"
"2760","week 21","1",57,"Male","Denmark",5,"55-64","Strongly agree"
"2761","week 21","5",64,"Female","Denmark",5,"55-64","Strongly disagree"
"2762","week 21","1",48,"Female","Denmark",4,"45-54","Strongly agree"
"2763","week 21","5",65,"Female","Denmark",6,"65+","Strongly disagree"
"2764","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2765","week 21","1",53,"Male","Denmark",4,"45-54","Strongly agree"
"2766","week 21","1",57,"Male","Denmark",5,"55-64","Strongly agree"
"2767","week 21","3",56,"Female","Denmark",5,"55-64","Neutral/no opinion"
"2768","week 21","2",65,"Female","Denmark",6,"65+","Somewhat agree"
"2769","week 21","1",72,"Female","Denmark",6,"65+","Strongly agree"
"2770","week 21","1",50,"Male","Denmark",4,"45-54","Strongly agree"
"2771","week 21","3",58,"Female","Denmark",5,"55-64","Neutral/no opinion"
"2772","week 21","1",73,"Female","Denmark",6,"65+","Strongly agree"
"2773","week 21","5",61,"Female","Denmark",5,"55-64","Strongly disagree"
"2774","week 21","1",65,"Male","Denmark",6,"65+","Strongly agree"
"2775","week 21","4",19,"Male","Denmark",1,"18-24","Somewhat disagree"
"2776","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2777","week 21","1",56,"Male","Denmark",5,"55-64","Strongly agree"
"2778","week 21","1",37,"Male","Denmark",3,"35-44","Strongly agree"
"2779","week 21","1",62,"Female","Denmark",5,"55-64","Strongly agree"
"2780","week 21","1",58,"Female","Denmark",5,"55-64","Strongly agree"
"2781","week 21","1",53,"Male","Denmark",4,"45-54","Strongly agree"
"2782","week 21","1",52,"Female","Denmark",4,"45-54","Strongly agree"
"2783","week 21","5",37,"Female","Denmark",3,"35-44","Strongly disagree"
"2784","week 21","4",50,"Male","Denmark",4,"45-54","Somewhat disagree"
"2785","week 21","4",49,"Male","Denmark",4,"45-54","Somewhat disagree"
"2786","week 21","1",62,"Female","Denmark",5,"55-64","Strongly agree"
"2787","week 21","1",65,"Male","Denmark",6,"65+","Strongly agree"
"2788","week 21","3",31,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2789","week 21","1",67,"Male","Denmark",6,"65+","Strongly agree"
"2790","week 21","2",60,"Male","Denmark",5,"55-64","Somewhat agree"
"2791","week 21","1",49,"Female","Denmark",4,"45-54","Strongly agree"
"2792","week 21","3",44,"Male","Denmark",3,"35-44","Neutral/no opinion"
"2793","week 21","1",45,"Female","Denmark",4,"45-54","Strongly agree"
"2794","week 21","1",43,"Female","Denmark",3,"35-44","Strongly agree"
"2795","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2796","week 21","1",51,"Female","Denmark",4,"45-54","Strongly agree"
"2797","week 21","1",62,"Female","Denmark",5,"55-64","Strongly agree"
"2798","week 21","1",42,"Male","Denmark",3,"35-44","Strongly agree"
"2799","week 21","1",53,"Male","Denmark",4,"45-54","Strongly agree"
"2800","week 21","1",77,"Male","Denmark",6,"65+","Strongly agree"
"2801","week 21","2",57,"Female","Denmark",5,"55-64","Somewhat agree"
"2802","week 21","1",73,"Male","Denmark",6,"65+","Strongly agree"
"2803","week 21","3",57,"Male","Denmark",5,"55-64","Neutral/no opinion"
"2804","week 21","1",64,"Female","Denmark",5,"55-64","Strongly agree"
"2805","week 21","1",62,"Female","Denmark",5,"55-64","Strongly agree"
"2806","week 21","1",40,"Male","Denmark",3,"35-44","Strongly agree"
"2807","week 21","1",38,"Male","Denmark",3,"35-44","Strongly agree"
"2808","week 21","1",60,"Female","Denmark",5,"55-64","Strongly agree"
"2809","week 21","1",63,"Female","Denmark",5,"55-64","Strongly agree"
"2810","week 21","1",30,"Female","Denmark",2,"25-34","Strongly agree"
"2811","week 21","4",62,"Female","Denmark",5,"55-64","Somewhat disagree"
"2812","week 21","1",52,"Female","Denmark",4,"45-54","Strongly agree"
"2813","week 21","3",52,"Female","Denmark",4,"45-54","Neutral/no opinion"
"2814","week 21","1",66,"Female","Denmark",6,"65+","Strongly agree"
"2815","week 21","1",48,"Male","Denmark",4,"45-54","Strongly agree"
"2816","week 21","5",45,"Female","Denmark",4,"45-54","Strongly disagree"
"2817","week 21","1",50,"Female","Denmark",4,"45-54","Strongly agree"
"2818","week 21","3",65,"Female","Denmark",6,"65+","Neutral/no opinion"
"2819","week 21","4",44,"Male","Denmark",3,"35-44","Somewhat disagree"
"2820","week 21","2",79,"Female","Denmark",6,"65+","Somewhat agree"
"2821","week 21","2",62,"Female","Denmark",5,"55-64","Somewhat agree"
"2822","week 21","3",31,"Female","Denmark",2,"25-34","Neutral/no opinion"
"2823","week 21","1",34,"Female","Denmark",2,"25-34","Strongly agree"
"2824","week 21","1",36,"Male","Denmark",3,"35-44","Strongly agree"
"2825","week 21","1",78,"Male","Denmark",6,"65+","Strongly agree"
"2826","week 21","1",62,"Female","Denmark",5,"55-64","Strongly agree"
"2827","week 21","5",46,"Female","Denmark",4,"45-54","Strongly disagree"
"2828","week 21","1",46,"Female","Denmark",4,"45-54","Strongly agree"
"2829","week 21","5",23,"Male","Denmark",1,"18-24","Strongly disagree"
"2830","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2831","week 21","1",56,"Female","Denmark",5,"55-64","Strongly agree"
"2832","week 21","1",40,"Female","Denmark",3,"35-44","Strongly agree"
"2833","week 21","1",43,"Male","Denmark",3,"35-44","Strongly agree"
"2834","week 21","3",36,"Female","Denmark",3,"35-44","Neutral/no opinion"
"2835","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2836","week 21","2",53,"Male","Denmark",4,"45-54","Somewhat agree"
"2837","week 21","1",75,"Female","Denmark",6,"65+","Strongly agree"
"2838","week 21","3",53,"Male","Denmark",4,"45-54","Neutral/no opinion"
"2839","week 21","1",48,"Female","Denmark",4,"45-54","Strongly agree"
"2840","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2841","week 21","1",69,"Female","Denmark",6,"65+","Strongly agree"
"2842","week 21","1",44,"Female","Denmark",3,"35-44","Strongly agree"
"2843","week 21","1",44,"Male","Denmark",3,"35-44","Strongly agree"
"2844","week 21","1",46,"Female","Denmark",4,"45-54","Strongly agree"
"2845","week 21","1",47,"Female","Denmark",4,"45-54","Strongly agree"
"2846","week 21","1",40,"Female","Denmark",3,"35-44","Strongly agree"
"2847","week 21","1",68,"Female","Denmark",6,"65+","Strongly agree"
"2848","week 21","5",37,"Female","Denmark",3,"35-44","Strongly disagree"
"2849","week 21","2",35,"Female","Denmark",3,"35-44","Somewhat agree"
"2850","week 21","1",66,"Female","Denmark",6,"65+","Strongly agree"
"2851","week 21","4",65,"Female","Denmark",6,"65+","Somewhat disagree"
"2852","week 21","2",61,"Female","Denmark",5,"55-64","Somewhat agree"
"2853","week 21","3",56,"Female","Denmark",5,"55-64","Neutral/no opinion"
"2854","week 21","1",49,"Female","Denmark",4,"45-54","Strongly agree"
"2855","week 21","1",61,"Female","Denmark",5,"55-64","Strongly agree"
"2856","week 21","2",42,"Female","Denmark",3,"35-44","Somewhat agree"
"2857","week 21","1",79,"Male","Denmark",6,"65+","Strongly agree"
"2858","week 21","1",65,"Male","Denmark",6,"65+","Strongly agree"
"2859","week 21","2",32,"Female","Denmark",2,"25-34","Somewhat agree"
"2860","week 21","1",61,"Female","Denmark",5,"55-64","Strongly agree"
"2861","week 21","1",65,"Male","Denmark",6,"65+","Strongly agree"
"2862","week 21","1",63,"Female","Denmark",5,"55-64","Strongly agree"
"2863","week 21","1",72,"Female","Denmark",6,"65+","Strongly agree"
"2864","week 21","2",26,"Male","Denmark",2,"25-34","Somewhat agree"
"2865","week 21","1",43,"Female","Denmark",3,"35-44","Strongly agree"
"2866","week 21","1",65,"Male","Denmark",6,"65+","Strongly agree"
"2867","week 21","1",56,"Male","Denmark",5,"55-64","Strongly agree"
"2868","week 21","1",64,"Female","Denmark",5,"55-64","Strongly agree"
"2869","week 21","2",31,"Female","Denmark",2,"25-34","Somewhat agree"
"2870","week 21","1",33,"Female","Denmark",2,"25-34","Strongly agree"
"2871","week 21","1",31,"Female","Denmark",2,"25-34","Strongly agree"
"2872","week 21","1",64,"Female","Denmark",5,"55-64","Strongly agree"
"2873","week 21","1",61,"Male","Denmark",5,"55-64","Strongly agree"
"2874","week 21","3",63,"Female","Denmark",5,"55-64","Neutral/no opinion"
"2875","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2876","week 21","2",31,"Male","Denmark",2,"25-34","Somewhat agree"
"2877","week 21","4",45,"Male","Denmark",4,"45-54","Somewhat disagree"
"2878","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2879","week 21","1",61,"Female","Denmark",5,"55-64","Strongly agree"
"2880","week 21","1",63,"Female","Denmark",5,"55-64","Strongly agree"
"2881","week 21","1",45,"Male","Denmark",4,"45-54","Strongly agree"
"2882","week 21","1",61,"Female","Denmark",5,"55-64","Strongly agree"
"2883","week 21","1",77,"Female","Denmark",6,"65+","Strongly agree"
"2884","week 21","5",61,"Female","Denmark",5,"55-64","Strongly disagree"
"2885","week 21","1",31,"Male","Denmark",2,"25-34","Strongly agree"
"2886","week 21","1",61,"Female","Denmark",5,"55-64","Strongly agree"
"2887","week 21","2",43,"Female","Denmark",3,"35-44","Somewhat agree"
"2888","week 21","3",63,"Female","Denmark",5,"55-64","Neutral/no opinion"
"2889","week 21","3",48,"Female","Denmark",4,"45-54","Neutral/no opinion"
"2890","week 21","1",61,"Female","Denmark",5,"55-64","Strongly agree"
"2891","week 21","5",42,"Female","Denmark",3,"35-44","Strongly disagree"
"2892","week 21","1",34,"Female","Denmark",2,"25-34","Strongly agree"
"2893","week 21","3",41,"Male","Denmark",3,"35-44","Neutral/no opinion"
"2894","week 21","2",65,"Female","Denmark",6,"65+","Somewhat agree"
"2895","week 21","5",60,"Female","Denmark",5,"55-64","Strongly disagree"
"2896","week 21","1",38,"Male","Denmark",3,"35-44","Strongly agree"
"2897","week 21","4",30,"Female","Denmark",2,"25-34","Somewhat disagree"
"2898","week 21","4",29,"Male","Denmark",2,"25-34","Somewhat disagree"
"2899","week 21","1",43,"Male","Denmark",3,"35-44","Strongly agree"
"2900","week 21","4",35,"Male","Denmark",3,"35-44","Somewhat disagree"
"2901","week 21","1",41,"Female","Denmark",3,"35-44","Strongly agree"
"2902","week 21","1",52,"Female","Denmark",4,"45-54","Strongly agree"
"2903","week 21","1",41,"Female","Denmark",3,"35-44","Strongly agree"
"2904","week 21","1",24,"Male","Denmark",1,"18-24","Strongly agree"
"2905","week 21","2",25,"Male","Denmark",2,"25-34","Somewhat agree"
"2906","week 21","1",42,"Male","Denmark",3,"35-44","Strongly agree"
"2907","week 21","1",33,"Male","Denmark",2,"25-34","Strongly agree"
"2908","week 21","4",45,"Male","Denmark",4,"45-54","Somewhat disagree"
"2909","week 21","1",65,"Female","Denmark",6,"65+","Strongly agree"
"2910","week 21","1",38,"Male","Denmark",3,"35-44","Strongly agree"
"2911","week 21","3",44,"Male","Denmark",3,"35-44","Neutral/no opinion"
"2912","week 21","4",22,"Male","Denmark",1,"18-24","Somewhat disagree"
"2913","week 21","1",39,"Male","Denmark",3,"35-44","Strongly agree"
"2914","week 21","4",19,"Male","Denmark",1,"18-24","Somewhat disagree"
"2915","week 21","5",49,"Male","Denmark",4,"45-54","Strongly disagree"
"2916","week 21","3",20,"Male","Denmark",1,"18-24","Neutral/no opinion"
"2917","week 21","1",19,"Male","Denmark",1,"18-24","Strongly agree"
"2918","week 21","1",43,"Female","Denmark",3,"35-44","Strongly agree"
"2919","week 21","5",72,"Female","Denmark",6,"65+","Strongly disagree"
"2920","week 21","1",49,"Male","Denmark",4,"45-54","Strongly agree"
"2921","week 21","4",33,"Male","Denmark",2,"25-34","Somewhat disagree"
"2922","week 21","1",29,"Male","Denmark",2,"25-34","Strongly agree"
"2923","week 21","1",37,"Male","Denmark",3,"35-44","Strongly agree"
"2924","week 21","2",30,"Male","Denmark",2,"25-34","Somewhat agree"
"2925","week 21","3",32,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2926","week 21","1",34,"Male","Denmark",2,"25-34","Strongly agree"
"2927","week 21","1",41,"Male","Denmark",3,"35-44","Strongly agree"
"2928","week 21","1",48,"Male","Denmark",4,"45-54","Strongly agree"
"2929","week 21","1",24,"Male","Denmark",1,"18-24","Strongly agree"
"2930","week 21","1",45,"Male","Denmark",4,"45-54","Strongly agree"
"2931","week 21","1",27,"Male","Denmark",2,"25-34","Strongly agree"
"2932","week 21","1",45,"Male","Denmark",4,"45-54","Strongly agree"
"2933","week 21","3",35,"Male","Denmark",3,"35-44","Neutral/no opinion"
"2934","week 21","3",36,"Male","Denmark",3,"35-44","Neutral/no opinion"
"2935","week 21","1",20,"Male","Denmark",1,"18-24","Strongly agree"
"2936","week 21","3",27,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2937","week 21","1",26,"Male","Denmark",2,"25-34","Strongly agree"
"2938","week 21","1",31,"Male","Denmark",2,"25-34","Strongly agree"
"2939","week 21","1",34,"Male","Denmark",2,"25-34","Strongly agree"
"2940","week 21","5",21,"Male","Denmark",1,"18-24","Strongly disagree"
"2941","week 21","3",21,"Male","Denmark",1,"18-24","Neutral/no opinion"
"2942","week 21","3",30,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2943","week 21","3",29,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2944","week 21","3",26,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2945","week 21","3",22,"Male","Denmark",1,"18-24","Neutral/no opinion"
"2946","week 21","1",28,"Male","Denmark",2,"25-34","Strongly agree"
"2947","week 21","2",19,"Male","Denmark",1,"18-24","Somewhat agree"
"2948","week 21","3",30,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2949","week 21","1",27,"Male","Denmark",2,"25-34","Strongly agree"
"2950","week 21","2",26,"Male","Denmark",2,"25-34","Somewhat agree"
"2951","week 21","5",28,"Male","Denmark",2,"25-34","Strongly disagree"
"2952","week 21","1",23,"Male","Denmark",1,"18-24","Strongly agree"
"2953","week 21","5",38,"Male","Denmark",3,"35-44","Strongly disagree"
"2954","week 21","1",33,"Male","Denmark",2,"25-34","Strongly agree"
"2955","week 21","2",31,"Male","Denmark",2,"25-34","Somewhat agree"
"2956","week 21","5",22,"Male","Denmark",1,"18-24","Strongly disagree"
"2957","week 21","3",29,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2958","week 21","1",23,"Male","Denmark",1,"18-24","Strongly agree"
"2959","week 21","2",35,"Male","Denmark",3,"35-44","Somewhat agree"
"2960","week 21","1",23,"Male","Denmark",1,"18-24","Strongly agree"
"2961","week 21","2",32,"Male","Denmark",2,"25-34","Somewhat agree"
"2962","week 21","3",23,"Male","Denmark",1,"18-24","Neutral/no opinion"
"2963","week 21","3",25,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2964","week 21","5",37,"Male","Denmark",3,"35-44","Strongly disagree"
"2965","week 21","5",26,"Male","Denmark",2,"25-34","Strongly disagree"
"2966","week 21","4",28,"Male","Denmark",2,"25-34","Somewhat disagree"
"2967","week 21","3",25,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2968","week 21","5",30,"Male","Denmark",2,"25-34","Strongly disagree"
"2969","week 21","3",23,"Male","Denmark",1,"18-24","Neutral/no opinion"
"2970","week 21","3",28,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2971","week 21","2",21,"Male","Denmark",1,"18-24","Somewhat agree"
"2972","week 21","3",37,"Male","Denmark",3,"35-44","Neutral/no opinion"
"2973","week 21","1",26,"Male","Denmark",2,"25-34","Strongly agree"
"2974","week 21","1",34,"Male","Denmark",2,"25-34","Strongly agree"
"2975","week 21","3",29,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2976","week 21","1",38,"Male","Denmark",3,"35-44","Strongly agree"
"2977","week 21","5",35,"Male","Denmark",3,"35-44","Strongly disagree"
"2978","week 21","3",25,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2979","week 21","1",22,"Male","Denmark",1,"18-24","Strongly agree"
"2980","week 21","3",27,"Male","Denmark",2,"25-34","Neutral/no opinion"
"2981","week 21","5",21,"Male","Denmark",1,"18-24","Strongly disagree"
"2982","week 18","1",62,"Male","Finland",5,"55-64","Strongly agree"
"2983","week 18","2",67,"Female","Finland",6,"65+","Somewhat agree"
"2984","week 18","2",18,"Female","Finland",1,"18-24","Somewhat agree"
"2985","week 18","5",30,"Female","Finland",2,"25-34","Strongly disagree"
"2986","week 18","5",31,"Female","Finland",2,"25-34","Strongly disagree"
"2987","week 18","3",24,"Female","Finland",1,"18-24","Neutral/no opinion"
"2988","week 18","1",57,"Female","Finland",5,"55-64","Strongly agree"
"2989","week 18","1",58,"Female","Finland",5,"55-64","Strongly agree"
"2990","week 18","5",65,"Female","Finland",6,"65+","Strongly disagree"
"2991","week 18","2",65,"Female","Finland",6,"65+","Somewhat agree"
"2992","week 18","5",55,"Male","Finland",5,"55-64","Strongly disagree"
"2993","week 18","1",42,"Male","Finland",3,"35-44","Strongly agree"
"2994","week 18","3",37,"Female","Finland",3,"35-44","Neutral/no opinion"
"2995","week 18","2",68,"Male","Finland",6,"65+","Somewhat agree"
"2996","week 18","3",43,"Male","Finland",3,"35-44","Neutral/no opinion"
"2997","week 18","2",62,"Male","Finland",5,"55-64","Somewhat agree"
"2998","week 18","1",68,"Male","Finland",6,"65+","Strongly agree"
"2999","week 18","1",73,"Female","Finland",6,"65+","Strongly agree"
"3000","week 18","5",34,"Male","Finland",2,"25-34","Strongly disagree"
"3001","week 18","5",52,"Male","Finland",4,"45-54","Strongly disagree"
"3002","week 18","4",37,"Male","Finland",3,"35-44","Somewhat disagree"
"3003","week 18","3",24,"Female","Finland",1,"18-24","Neutral/no opinion"
"3004","week 18","5",35,"Male","Finland",3,"35-44","Strongly disagree"
"3005","week 18","1",63,"Male","Finland",5,"55-64","Strongly agree"
"3006","week 18","1",68,"Male","Finland",6,"65+","Strongly agree"
"3007","week 18","1",70,"Male","Finland",6,"65+","Strongly agree"
"3008","week 18","3",26,"Male","Finland",2,"25-34","Neutral/no opinion"
"3009","week 18","2",64,"Male","Finland",5,"55-64","Somewhat agree"
"3010","week 18","1",26,"Male","Finland",2,"25-34","Strongly agree"
"3011","week 18","1",69,"Male","Finland",6,"65+","Strongly agree"
"3012","week 18","1",71,"Male","Finland",6,"65+","Strongly agree"
"3013","week 18","5",56,"Male","Finland",5,"55-64","Strongly disagree"
"3014","week 18","3",42,"Male","Finland",3,"35-44","Neutral/no opinion"
"3015","week 18","1",26,"Female","Finland",2,"25-34","Strongly agree"
"3016","week 18","3",23,"Male","Finland",1,"18-24","Neutral/no opinion"
"3017","week 18","1",39,"Male","Finland",3,"35-44","Strongly agree"
"3018","week 18","3",44,"Female","Finland",3,"35-44","Neutral/no opinion"
"3019","week 18","4",36,"Female","Finland",3,"35-44","Somewhat disagree"
"3020","week 18","2",35,"Female","Finland",3,"35-44","Somewhat agree"
"3021","week 18","1",40,"Female","Finland",3,"35-44","Strongly agree"
"3022","week 18","1",28,"Male","Finland",2,"25-34","Strongly agree"
"3023","week 18","2",23,"Male","Finland",1,"18-24","Somewhat agree"
"3024","week 18","1",26,"Female","Finland",2,"25-34","Strongly agree"
"3025","week 18","1",25,"Female","Finland",2,"25-34","Strongly agree"
"3026","week 18","3",49,"Female","Finland",4,"45-54","Neutral/no opinion"
"3027","week 18","3",31,"Female","Finland",2,"25-34","Neutral/no opinion"
"3028","week 18","1",62,"Male","Finland",5,"55-64","Strongly agree"
"3029","week 18","5",43,"Female","Finland",3,"35-44","Strongly disagree"
"3030","week 18","3",40,"Female","Finland",3,"35-44","Neutral/no opinion"
"3031","week 18","3",49,"Female","Finland",4,"45-54","Neutral/no opinion"
"3032","week 18","5",41,"Female","Finland",3,"35-44","Strongly disagree"
"3033","week 18","5",53,"Female","Finland",4,"45-54","Strongly disagree"
"3034","week 18","1",71,"Female","Finland",6,"65+","Strongly agree"
"3035","week 18","4",37,"Male","Finland",3,"35-44","Somewhat disagree"
"3036","week 18","1",66,"Female","Finland",6,"65+","Strongly agree"
"3037","week 18","3",25,"Female","Finland",2,"25-34","Neutral/no opinion"
"3038","week 18","3",45,"Female","Finland",4,"45-54","Neutral/no opinion"
"3039","week 18","1",60,"Female","Finland",5,"55-64","Strongly agree"
"3040","week 18","1",70,"Male","Finland",6,"65+","Strongly agree"
"3041","week 18","2",29,"Male","Finland",2,"25-34","Somewhat agree"
"3042","week 18","4",52,"Female","Finland",4,"45-54","Somewhat disagree"
"3043","week 18","1",45,"Female","Finland",4,"45-54","Strongly agree"
"3044","week 18","5",22,"Female","Finland",1,"18-24","Strongly disagree"
"3045","week 18","1",68,"Male","Finland",6,"65+","Strongly agree"
"3046","week 18","4",40,"Female","Finland",3,"35-44","Somewhat disagree"
"3047","week 18","1",59,"Male","Finland",5,"55-64","Strongly agree"
"3048","week 18","1",57,"Female","Finland",5,"55-64","Strongly agree"
"3049","week 18","2",51,"Male","Finland",4,"45-54","Somewhat agree"
"3050","week 18","5",45,"Female","Finland",4,"45-54","Strongly disagree"
"3051","week 18","3",25,"Male","Finland",2,"25-34","Neutral/no opinion"
"3052","week 18","2",36,"Male","Finland",3,"35-44","Somewhat agree"
"3053","week 18","3",41,"Male","Finland",3,"35-44","Neutral/no opinion"
"3054","week 18","5",35,"Male","Finland",3,"35-44","Strongly disagree"
"3055","week 18","1",55,"Female","Finland",5,"55-64","Strongly agree"
"3056","week 18","1",59,"Male","Finland",5,"55-64","Strongly agree"
"3057","week 18","1",53,"Female","Finland",4,"45-54","Strongly agree"
"3058","week 18","4",32,"Male","Finland",2,"25-34","Somewhat disagree"
